Date,ASIANPAINT.csv,AXISBANK.csv,BAJAJFINSV.csv,BAJFINANCE.csv,BHARTIARTL.csv,HCLTECH.csv,HDFCBANK.csv,HINDUNILVR.csv,ICICIBANK.csv,INDUSINDBK.csv,INFY.csv,ITC.csv,JSWSTEEL.csv,KOTAKBANK.csv,LT.csv,M&M.csv,MARUTI.csv,NESTLEIND.csv,NTPC.csv,POWERGRID.csv,RELIANCE.csv,SBIN.csv,SUNPHARMA.csv,TATAMOTORS.csv,TATASTEEL.csv,TCS.csv,TECHM.csv,TITAN.csv,ULTRACEMCO.csv,WIPRO.csv
25-02-2019,1398.75,704,630.409973,2659.800049,318.049988,541.650024,1061.675049,1770.400024,355.5,1489.849976,754.900024,276.75,288.100006,1241.25,1276.900024,650.849976,6921.450195,1082.400024,117.041664,102.515625,1232.150024,270.200012,436,175.550003,50.485001,1985,830.799988,1044.5,3709.949951,289.537506
26-02-2019,1401.25,710.099976,642.755005,2652.75,315.350006,529.400024,1055.125,1767,348.100006,1478.150024,741.700012,274.950012,284.649994,1235.75,1264.150024,649.849976,6896.299805,1078.775024,117.25,102.262497,1219.699951,266.299988,435.850006,182.699997,50.415001,2032.349976,833.200012,1037.699951,3786.550049,290.399994
27-02-2019,1402.5,717.849976,641.664978,2641.399902,319.950012,530.150024,1045.800049,1735.75,345.799988,1476.300049,734.700012,275.049988,283.799988,1215.800049,1282.949951,655.849976,6955.200195,1070.005005,115.875,102.121872,1222.449951,267.25,441.899994,177.199997,50.584999,2053.75,825.099976,1017.650024,3884.199951,280.162506
28-02-2019,1405.050049,709.349976,646.674988,2647.399902,317.950012,526.599976,1041.074951,1731.349976,348.799988,1472.949951,733.950012,276.149994,281.049988,1212.449951,1294.5,646.549988,6832.25,1062.699951,117.958328,102.684372,1231.550049,269.75,445.399994,177.850006,50.130001,1984.25,832,1026.949951,3827.850098,277.5
01-03-2019,1392.150024,703.099976,644.335022,2663.399902,307.049988,526.400024,1041.599976,1734.949951,353.5,1516.300049,741.150024,277.799988,282.100006,1226.599976,1308.650024,649.349976,6933.200195,1043.569946,119.166664,103.078125,1226.699951,272.950012,448.25,180.100006,50.715,1991.650024,832,1022.900024,3874.399902,281.625
05-03-2019,1401.199951,732.099976,656.909973,2694.199951,308.049988,526.599976,1053.75,1724.199951,362.350006,1539.699951,732.599976,282.649994,291.100006,1240.199951,1306.650024,656.450012,7114.5,1050.795044,122.458328,102.909378,1236.949951,276.049988,455.75,194,52.150002,1987.849976,809.549988,1033.349976,3963.850098,272.700012
06-03-2019,1393.75,719.5,660.525024,2764.199951,309.350006,521.799988,1051.525024,1700.400024,371.600006,1532.949951,732.200012,285.450012,289.649994,1240.849976,1314.949951,659.549988,7058.950195,1035.484985,123.833336,103.893753,1263.550049,277.649994,459.950012,188.550003,51.880001,1999.400024,822.700012,1054.550049,3968.25,277.399994
07-03-2019,1397.25,732.200012,661.23999,2735.800049,308.75,517.299988,1061.324951,1703.349976,370.399994,1529.199951,723.25,290.049988,289.950012,1237.050049,1351.25,670.849976,7030.649902,1019.684998,121.749512,105.328125,1269.849976,281.149994,450.899994,189.199997,52.07,2011.5,808.099976,1045.25,3914.050049,268.799988
08-03-2019,1383.599976,732.349976,662.530029,2766.649902,308.75,504.225006,1063.800049,1701,370.149994,1518.349976,712.549988,292.049988,286.850006,1237.900024,1338.349976,669.950012,6972.850098,1010.570007,126.957825,105.243752,1266.599976,281.25,455.049988,181.649994,50.805,2022.300049,811.200012,1053.650024,3967.800049,256.5
11-03-2019,1417.900024,734.150024,677.234985,2790.100098,333.700012,502.350006,1065.025024,1714.25,375.899994,1515.099976,711.650024,293,292.149994,1248.849976,1347.650024,680.799988,7090.399902,1028.724976,126.666161,109.349998,1301,286.799988,459.450012,182.149994,52.080002,2014.099976,807.799988,1067.949951,4042.350098,259.649994
12-03-2019,1427.25,742.25,683.640015,2753.75,350.799988,506.25,1085.300049,1734.099976,388.200012,1571,706.900024,294.549988,292.100006,1262.599976,1389.099976,688.400024,7153.950195,1043.584961,125.916161,110.278122,1329.849976,286.5,470.100006,184.75,52.415001,2012.550049,804.75,1083.300049,4098.549805,261.25
13-03-2019,1428.449951,738.450012,689.809998,2826.199951,337.350006,514.099976,1113.050049,1746.150024,391.850006,1636.25,709.150024,294.799988,285.950012,1261.050049,1378.699951,684.5,7086.049805,1069.244995,123.791168,109.434372,1346.75,292.649994,456.100006,181.600006,51.360001,2001.150024,791.049988,1077.849976,4028.5,257.75
14-03-2019,1434.050049,740.450012,690.969971,2808.75,342.850006,503.274994,1111.625,1737.349976,387.899994,1682.800049,708.349976,295.450012,287,1270.5,1379.300049,685.700012,7086.799805,1074.224976,128.166153,105.440628,1341.199951,291.149994,467.100006,179.699997,51.779999,1988.599976,788.5,1084.849976,3965.399902,256.799988
15-03-2019,1432.25,735.700012,692.974976,2859.699951,337,514.049988,1125.75,1698.650024,395.700012,1700.75,718.849976,290.950012,288.350006,1325.300049,1397.349976,693.099976,7092.049805,1032.900024,131.374481,108.196877,1322.599976,297.700012,464.549988,180.199997,51.555,2040.199951,799.75,1095.449951,3916.699951,262.700012
18-03-2019,1445.800049,751.950012,699.900024,2926.050049,330.649994,506.274994,1130.724976,1697.449951,397.799988,1723.25,709.75,292.25,295.100006,1342.900024,1378.849976,683.799988,6910.350098,1046.5,132.249466,110.671875,1347.599976,298.450012,466.25,182.300003,52.465,2021.300049,788.75,1102.300049,3974,257.700012
19-03-2019,1453.900024,761,697.494995,2921.649902,336.649994,517.299988,1133.849976,1699.599976,398.149994,1725.599976,721.5,299.399994,288.25,1348.199951,1356.75,689.5,6832.549805,1067.699951,135.100006,111.768753,1375.25,302.75,469.350006,182.800003,52.625,2024.699951,794.5,1109.150024,3981,257.600006
20-03-2019,1454.949951,755.549988,694.465027,2872.25,333.75,519.625,1149.599976,1689.199951,393,1714.400024,738.5,298.5,282.700012,1350.900024,1372.849976,679.900024,6680.799805,1053.494995,129.300003,111.065628,1375.599976,303.450012,474.350006,179.850006,51.355,2015.5,789.849976,1102.650024,3928.850098,261.549988
22-03-2019,1470.699951,757.349976,695.75,2836.850098,331.149994,513.424988,1137.425049,1678.550049,391.600006,1700.300049,742.150024,297.700012,285.75,1334.400024,1394,678.650024,6558,1059.805054,134.050003,111.65625,1342.099976,298.100006,473.149994,175.399994,51.814999,2004.650024,789.599976,1104.699951,3928.300049,260.450012
25-03-2019,1456.599976,743.849976,690.934998,2852.850098,327.200012,508.100006,1141,1673,383.5,1684.449951,735.799988,295.200012,278.75,1308.800049,1377.199951,664.299988,6523.450195,1052.10498,135.649994,113.568748,1325.25,293.799988,464.200012,171.350006,51.564999,1986.900024,789.599976,1100.900024,3872.300049,256.649994
26-03-2019,1484.449951,757.200012,698.375,2930.399902,328.200012,516.900024,1155.099976,1683.699951,394.049988,1715.449951,726.75,293.200012,281.299988,1342.849976,1372.099976,669.200012,6578.799805,1069.464966,140.100006,114.046875,1367.150024,303.299988,469.350006,173.100006,51.935001,1981.800049,772.099976,1116.25,3920.050049,254.949997
27-03-2019,1472.900024,760.150024,698.109985,2942.649902,323.299988,521.099976,1150.099976,1680.050049,393.299988,1805.849976,729.049988,293,287.5,1333.650024,1367.800049,661.599976,6522.25,1085.300049,136.949997,112.668747,1350.099976,308.049988,464.200012,169.899994,51.59,1968.199951,764.400024,1114.300049,3905.050049,254.5
28-03-2019,1494.5,780.200012,695.304993,2989.649902,330.450012,541.125,1150.275024,1684.300049,400,1819.949951,738.5,300,287.700012,1338.650024,1384.050049,656.900024,6585.700195,1102.790039,135.850006,111.543747,1360.550049,318.399994,475.75,170.600006,50.700001,2000.449951,771.849976,1129.75,3911.600098,254.600006
01-04-2019,1490.449951,765.099976,714.075012,3001.550049,340.25,554.674988,1155.025024,1690,398.75,1742.550049,755.650024,297.299988,293.25,1338.25,1412.449951,660.650024,6842.850098,1089.560059,135,110.025002,1391.550049,322.799988,479.049988,187.149994,53.470001,2031.300049,785.700012,1121.75,4041.949951,261.799988
02-04-2019,1515.75,767.450012,727.835022,3049.699951,357.549988,550.400024,1148.25,1686.5,397.450012,1776.449951,757.099976,297.100006,288,1338.800049,1409.699951,667.150024,6882.850098,1076.680054,135,112.359375,1388.449951,328.549988,469.850006,202.800003,53.110001,2079.5,791.950012,1112.199951,4021.050049,261.600006
03-04-2019,1496.949951,761.400024,739.325012,3042.100098,349.899994,558.549988,1147.625,1671.849976,392.399994,1772.800049,754.049988,295.850006,290.350006,1338.550049,1379.900024,658.150024,7074.100098,1100.435059,134.75,112.696877,1373.800049,320.649994,462.899994,201.100006,53.540001,2080.25,780.049988,1100.150024,4002.300049,261.5
04-04-2019,1518.699951,762.150024,732.335022,3041.699951,356.600006,548.825012,1142.150024,1668,388.5,1739.800049,748.25,294.5,287.899994,1324.050049,1368.949951,654.549988,7114.25,1097.280029,135.399994,112.050003,1353.099976,321.700012,465.799988,206.100006,53.055,2014.300049,774.150024,1106.900024,4079.899902,258.950012
05-04-2019,1514.75,761.950012,741.625,3108.550049,356.600006,546.599976,1150.875,1659.699951,390.5,1764.449951,756.25,294.649994,294.850006,1334.849976,1373.550049,658.049988,7106.700195,1100.119995,134.449997,110.418747,1355.099976,317,462.700012,205.75,54.834999,2051.449951,779.200012,1107.400024,4186.549805,262.149994
08-04-2019,1496.400024,754.299988,735.924988,3028.800049,354.299988,549.400024,1144.449951,1665.050049,387.149994,1751.75,767.150024,292.549988,290.649994,1342.449951,1372.75,665.099976,7119.850098,1088.005005,135.449997,111.234375,1329.400024,312.799988,462.100006,200.649994,54.904999,2069.75,787.099976,1103.900024,4158.950195,263.649994
09-04-2019,1443.5,763.549988,738.284973,3014.199951,351.600006,559.275024,1145,1678.699951,396.899994,1768.150024,759.849976,296.350006,291.850006,1342.150024,1374.800049,666.599976,7218.350098,1078.805054,135.850006,111.571877,1335.349976,315.149994,469.75,206,55.18,2088.100098,788.950012,1099.099976,4164.649902,273.450012
10-04-2019,1412.449951,761.75,743.049988,3002,340.049988,549.025024,1121.349976,1691.75,393.700012,1748.949951,754.150024,294,288.5,1350.349976,1369.849976,668.200012,7184.100098,1080.839966,134.5,111.431252,1328.949951,311.200012,471.450012,215.649994,54.419998,2043.800049,789,1099.949951,4126.600098,281
11-04-2019,1422.650024,752.049988,756.515015,3048.800049,347.5,544.5,1128.400024,1707.5,390.100006,1740.800049,743.150024,296.299988,287.299988,1342.349976,1377.800049,672.150024,7179.299805,1076.155029,135.649994,110.165627,1346.150024,314.700012,464.950012,218.199997,53.715,2019.050049,780.950012,1105.650024,4151.299805,281.299988
12-04-2019,1437.599976,764.150024,751.914978,3007.100098,341.549988,541.5,1132.574951,1720.849976,394.450012,1738.650024,747.849976,305.600006,286.5,1345.5,1361.050049,677.450012,7332.149902,1094.094971,136,110.8125,1341.949951,315.299988,464.299988,215.850006,53.375,2013.75,784.700012,1096.099976,4165.149902,283.600006
15-04-2019,1432.300049,763.200012,750.934998,3022.550049,347.450012,551.875,1142.949951,1721.75,392.75,1746.650024,726.650024,305.049988,292.600006,1371.150024,1357.849976,682.25,7336.549805,1096.474976,136.699997,111.431252,1339.75,315.649994,458.450012,231.050003,55.200001,2110.050049,796.450012,1090.25,4222.399902,288.149994
